model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,task,num_classes,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_weighted_f1,best_val_non_transition_f1,best_val_direction_macro_f1,best_val_worst_direction_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_per_class_f1,best_val_confusion_matrix,best_val_loss
cnn,acc_gyro,77511,0.0018327848374610767,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed13/cnn_acc_gyro/best.pt,13,128,64,random,direction,7,0.9896341463414634,0.854752082017745,0.9895778895724229,0.998719590268886,0.8307574973092214,0.7222222222222222,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.3214571647164298,7650,1639,1640,0.9890176937156803,0.8708008414547094,0.9891547195112949,0.9977542508822586,0.8496419398834512,0.7058823529411765,0.9166666666666666,1.0,0.9565217391304348,"[0.9977542508822586, 0.9166666666666666, 1.0, 0.7804878048780488, 0.88, 0.7058823529411765, 0.8148148148148148]","[[1555, 2, 0, 0, 1, 1, 3], [0, 11, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 16, 0, 0, 0], [0, 0, 0, 0, 11, 0, 1], [0, 0, 0, 9, 0, 12, 0], [0, 0, 0, 0, 1, 0, 11]]",0.269135255123363
gru,acc_gyro,39367,0.0024690678401384503,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed13/gru_acc_gyro/best.pt,13,128,64,random,direction,7,0.9719512195121951,0.6582302765513685,0.9738231388580604,0.994535519125683,0.6021794027889826,0.4166666666666667,0.8351648351648352,0.9743589743589743,0.8994082840236687,0.6449862350777882,7650,1639,1640,0.9859670530811471,0.8361814770356887,0.9866201818956382,0.9964686998394864,0.8094669399017224,0.6190476190476191,0.8837209302325582,0.987012987012987,0.9325153374233128,"[0.9964686998394864, 0.9090909090909091, 0.7692307692307693, 0.7567567567567568, 0.9565217391304348, 0.6190476190476191, 0.8461538461538461]","[[1552, 1, 1, 1, 0, 5, 2], [0, 10, 0, 0, 0, 1, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 14, 0, 2, 0], [0, 0, 0, 0, 11, 0, 1], [1, 0, 1, 6, 0, 13, 0], [0, 0, 1, 0, 0, 0, 11]]",0.4448532319472577
tcn,acc_gyro,222023,0.0058233314121025614,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed13/tcn_acc_gyro/best.pt,13,128,64,random,direction,7,0.9871951219512195,0.837399386563383,0.9876744594122887,0.9974326059050064,0.8107271833397789,0.6896551724137931,0.9069767441860465,1.0,0.9512195121951219,0.2598541432037586,7650,1639,1640,0.9884075655887736,0.8513800411618127,0.9889160261057085,0.9974326059050064,0.8270379470379471,0.7333333333333333,0.9058823529411765,1.0,0.9506172839506173,"[0.9974326059050064, 0.88, 0.9090909090909091, 0.8108108108108109, 0.8181818181818182, 0.8108108108108109, 0.7333333333333333]","[[1554, 2, 0, 2, 1, 0, 3], [0, 11, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 0, 9, 0, 3], [0, 1, 0, 4, 0, 15, 1], [0, 0, 1, 0, 0, 0, 11]]",0.24872954801643238
transformer,acc_gyro,84359,0.0038930815571802673,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed13/transformer_acc_gyro/best.pt,13,128,64,random,direction,7,0.9829268292682927,0.7635188084584629,0.9833140809582189,0.9971126082771896,0.724586508488675,0.5925925925925926,0.9058823529411765,0.9871794871794872,0.9447852760736196,0.546357684836882,7650,1639,1640,0.9865771812080537,0.8146488064762142,0.9868382350175368,0.9974342527261065,0.7841845654345655,0.6666666666666666,0.9156626506024096,0.987012987012987,0.95,"[0.9974342527261065, 0.7692307692307693, 0.9090909090909091, 0.8125, 0.7857142857142857, 0.7619047619047619, 0.6666666666666666]","[[1555, 2, 0, 1, 1, 2, 1], [0, 10, 1, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 13, 0, 3, 0], [0, 0, 0, 0, 11, 0, 1], [0, 3, 0, 2, 0, 16, 0], [1, 0, 0, 0, 4, 0, 7]]",0.6820359369143253
mamba3,acc_gyro,240407,0.011283023268333636,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed13/mamba3_acc_gyro/best.pt,13,128,64,random,direction,7,0.9841463414634146,0.8078004849191623,0.9844183360397855,0.9967948717948718,0.7763014204398776,0.6206896551724138,0.9146341463414634,0.9615384615384616,0.9375,0.7939228819819485,7650,1639,1640,0.9853569249542404,0.8064227257552032,0.9858042104644615,0.996790757381258,0.7746947204841942,0.717948717948718,0.8941176470588236,0.987012987012987,0.9382716049382716,"[0.996790757381258, 0.8181818181818182, 0.8333333333333334, 0.7894736842105263, 0.72, 0.717948717948718, 0.7692307692307693]","[[1553, 1, 0, 1, 4, 1, 2], [0, 9, 0, 0, 0, 2, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 1, 9, 0, 2], [1, 1, 0, 5, 0, 14, 0], [0, 0, 2, 0, 0, 0, 10]]",0.6284967966723216
cnn,acc_gyro,77511,0.0019577645070967264,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed42/cnn_acc_gyro/best.pt,42,128,64,random,direction,7,0.9871951219512195,0.8490439925680604,0.987574137572435,0.9971126082771896,0.8243658899498721,0.7272727272727273,0.9058823529411765,0.9871794871794872,0.9447852760736196,0.3768895335041168,7650,1639,1640,0.9914582062233069,0.8792554445341121,0.9915138204686408,0.9980781550288277,0.8594516594516595,0.8,0.9493670886075949,0.974025974025974,0.9615384615384616,"[0.9980781550288277, 0.8571428571428571, 0.9090909090909091, 0.8333333333333334, 0.8571428571428571, 0.9, 0.8]","[[1558, 1, 1, 2, 0, 0, 0], [2, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 0, 12, 0, 0], [0, 0, 0, 3, 0, 18, 0], [0, 0, 0, 0, 4, 0, 8]]",0.3292234815052546
gru,acc_gyro,39367,0.002467977174092084,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed42/gru_acc_gyro/best.pt,42,128,64,random,direction,7,0.9829268292682927,0.81721286691923,0.9830021552250036,0.9958319974350753,0.7874430118332558,0.4864864864864865,0.891566265060241,0.9487179487179487,0.9192546583850931,0.46685723255774597,7650,1639,1640,0.987797437461867,0.8205733755082173,0.9874702551557395,0.9980806142034548,0.7909888357256779,0.72,0.9733333333333334,0.948051948051948,0.9605263157894737,"[0.9980806142034548, 0.7368421052631579, 0.9090909090909091, 0.7777777777777778, 0.72, 0.7222222222222222, 0.88]","[[1560, 1, 1, 0, 0, 0, 0], [1, 7, 0, 0, 2, 1, 0], [0, 0, 5, 0, 0, 0, 0], [1, 0, 0, 14, 0, 1, 0], [1, 0, 0, 0, 9, 0, 2], [1, 0, 0, 6, 1, 13, 0], [0, 0, 0, 0, 1, 0, 11]]",0.6360748494186003
tcn,acc_gyro,222023,0.0058174320292891935,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed42/tcn_acc_gyro/best.pt,42,128,64,random,direction,7,0.9896341463414634,0.8694058170707539,0.9895588592443536,0.998719590268886,0.8478535215377322,0.6842105263157895,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.5967594475706858,7650,1639,1640,0.9908480780964003,0.8848850940512268,0.9907986903282221,0.9984,0.8659659430597646,0.7567567567567568,0.9736842105263158,0.961038961038961,0.9673202614379085,"[0.9984, 0.9, 1.0, 0.7894736842105263, 0.88, 0.7567567567567568, 0.8695652173913043]","[[1560, 0, 0, 1, 0, 1, 0], [2, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 0, 0, 11, 0, 1], [1, 0, 0, 6, 0, 14, 0], [0, 0, 0, 0, 2, 0, 10]]",0.5300610122582554
transformer,acc_gyro,84359,0.003911786261596717,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed42/transformer_acc_gyro/best.pt,42,128,64,random,direction,7,0.9786585365853658,0.7163240621430068,0.9791447547257269,0.9967928159076331,0.6695792698489025,0.5405405405405406,0.9047619047619048,0.9743589743589743,0.9382716049382716,0.7016420627285431,7650,1639,1640,0.9835265405735204,0.8073603895704923,0.9837464127750554,0.9951907662712408,0.7760553267870341,0.6666666666666666,0.8780487804878049,0.935064935064935,0.9056603773584906,"[0.9951907662712408, 0.7619047619047619, 0.9090909090909091, 0.7804878048780488, 0.8181818181818182, 0.6666666666666666, 0.72]","[[1552, 2, 1, 2, 0, 5, 0], [3, 8, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 16, 0, 0, 0], [0, 0, 0, 0, 9, 0, 3], [1, 0, 0, 6, 0, 13, 1], [1, 0, 0, 1, 1, 0, 9]]",0.5870156680677561
mamba3,acc_gyro,240407,0.011027977961930446,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/direction_5seed/seed42/mamba3_acc_gyro/best.pt,42,128,64,random,direction,7,0.9829268292682927,0.7801490639878356,0.9826841383262901,0.9968010236724248,0.744040404040404,0.6060606060606061,0.9473684210526315,0.9230769230769231,0.935064935064935,1.3479792753508508,7650,1639,1640,0.9847467968273338,0.7988308366824991,0.9843295331188734,0.9961636828644501,0.7659420289855072,0.6,0.9452054794520548,0.8961038961038961,0.92,"[0.9961636828644501, 0.8, 0.8333333333333334, 0.8484848484848485, 0.8181818181818182, 0.6, 0.6956521739130435]","[[1558, 0, 0, 0, 0, 3, 1], [1, 8, 0, 0, 0, 2, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 14, 0, 2, 0], [0, 0, 1, 0, 9, 0, 2], [5, 1, 0, 3, 0, 12, 0], [2, 0, 1, 0, 1, 0, 8]]",1.018102308885405
