model,channels,seed,window_size,split_mode,n_segments_in_test,n_detected,n_missed,miss_rate,latency_ms_mean,latency_ms_median,latency_ms_p25,latency_ms_p75,prediction_path
cnn,acc,13,128,random,72,70,2,0.027777777777777776,3090.285714285714,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/cnn_acc/test_predictions.json
cnn,acc_gyro,13,128,random,72,72,0,0.0,3111.1111111111113,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/cnn_acc_gyro/test_predictions.json
cnn,gyro,13,128,random,72,71,1,0.013888888888888888,3082.8169014084506,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/cnn_gyro/test_predictions.json
gru,acc,13,128,random,72,67,5,0.06944444444444445,3075.820895522388,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/gru_acc/test_predictions.json
gru,acc_gyro,13,128,random,72,70,2,0.027777777777777776,3090.285714285714,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/gru_acc_gyro/test_predictions.json
gru,gyro,13,128,random,72,71,1,0.013888888888888888,3082.8169014084506,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/gru_gyro/test_predictions.json
mamba3,acc,13,128,random,72,68,4,0.05555555555555555,3068.235294117647,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/mamba3_acc/test_predictions.json
mamba3,acc_gyro,13,128,random,72,71,1,0.013888888888888888,3100.845070422535,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/mamba3_acc_gyro/test_predictions.json
mamba3,gyro,13,128,random,72,68,4,0.05555555555555555,3105.8823529411766,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/mamba3_gyro/test_predictions.json
tcn,acc,13,128,random,72,69,3,0.041666666666666664,3079.4202898550725,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/tcn_acc/test_predictions.json
tcn,acc_gyro,13,128,random,72,72,0,0.0,3111.1111111111113,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/tcn_acc_gyro/test_predictions.json
tcn,gyro,13,128,random,72,71,1,0.013888888888888888,3082.8169014084506,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/tcn_gyro/test_predictions.json
transformer,acc,13,128,random,72,67,5,0.06944444444444445,3075.820895522388,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/transformer_acc/test_predictions.json
transformer,acc_gyro,13,128,random,72,71,1,0.013888888888888888,3082.8169014084506,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/transformer_acc_gyro/test_predictions.json
transformer,gyro,13,128,random,72,61,11,0.1527777777777778,3063.6065573770493,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed13/transformer_gyro/test_predictions.json
cnn,acc,137,128,random,75,71,4,0.05333333333333334,3100.845070422535,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/cnn_acc/test_predictions.json
cnn,acc_gyro,137,128,random,75,75,0,0.0,3123.2,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/cnn_acc_gyro/test_predictions.json
cnn,gyro,137,128,random,75,73,2,0.02666666666666667,3103.5616438356165,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/cnn_gyro/test_predictions.json
gru,acc,137,128,random,75,73,2,0.02666666666666667,3103.5616438356165,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/gru_acc/test_predictions.json
gru,acc_gyro,137,128,random,75,73,2,0.02666666666666667,3086.027397260274,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/gru_acc_gyro/test_predictions.json
gru,gyro,137,128,random,75,75,0,0.0,3123.2,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/gru_gyro/test_predictions.json
mamba3,acc,137,128,random,75,68,7,0.09333333333333334,3030.5882352941176,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/mamba3_acc/test_predictions.json
mamba3,acc_gyro,137,128,random,75,74,1,0.013333333333333334,3113.5135135135133,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/mamba3_acc_gyro/test_predictions.json
mamba3,gyro,137,128,random,75,73,2,0.02666666666666667,3086.027397260274,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/mamba3_gyro/test_predictions.json
tcn,acc,137,128,random,75,72,3,0.04,3040.0,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/tcn_acc/test_predictions.json
tcn,acc_gyro,137,128,random,75,75,0,0.0,3123.2,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/tcn_acc_gyro/test_predictions.json
tcn,gyro,137,128,random,75,75,0,0.0,3123.2,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/tcn_gyro/test_predictions.json
transformer,acc,137,128,random,75,71,4,0.05333333333333334,3100.845070422535,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/transformer_acc/test_predictions.json
transformer,acc_gyro,137,128,random,75,74,1,0.013333333333333334,3096.2162162162163,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/transformer_acc_gyro/test_predictions.json
transformer,gyro,137,128,random,75,70,5,0.06666666666666667,3126.8571428571427,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed137/transformer_gyro/test_predictions.json
cnn,acc,211,128,random,73,70,3,0.0410958904109589,2962.285714285714,2560.0,2560.0,3520.0,outputs_user/imu_transition/main_5seed/seed211/cnn_acc/test_predictions.json
cnn,acc_gyro,211,128,random,73,70,3,0.0410958904109589,2944.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/cnn_acc_gyro/test_predictions.json
cnn,gyro,211,128,random,73,71,2,0.0273972602739726,2956.6197183098593,2560.0,2560.0,3200.0,outputs_user/imu_transition/main_5seed/seed211/cnn_gyro/test_predictions.json
gru,acc,211,128,random,73,68,5,0.0684931506849315,2974.1176470588234,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed211/gru_acc/test_predictions.json
gru,acc_gyro,211,128,random,73,65,8,0.1095890410958904,2953.846153846154,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/gru_acc_gyro/test_predictions.json
gru,gyro,211,128,random,73,70,3,0.0410958904109589,2962.285714285714,2560.0,2560.0,3520.0,outputs_user/imu_transition/main_5seed/seed211/gru_gyro/test_predictions.json
mamba3,acc,211,128,random,73,69,4,0.0547945205479452,2968.1159420289855,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/mamba3_acc/test_predictions.json
mamba3,acc_gyro,211,128,random,73,71,2,0.0273972602739726,2938.5915492957747,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/mamba3_acc_gyro/test_predictions.json
mamba3,gyro,211,128,random,73,69,4,0.0547945205479452,2968.1159420289855,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/mamba3_gyro/test_predictions.json
tcn,acc,211,128,random,73,69,4,0.0547945205479452,2949.5652173913045,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/tcn_acc/test_predictions.json
tcn,acc_gyro,211,128,random,73,71,2,0.0273972602739726,2938.5915492957747,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/tcn_acc_gyro/test_predictions.json
tcn,gyro,211,128,random,73,70,3,0.0410958904109589,2944.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/tcn_gyro/test_predictions.json
transformer,acc,211,128,random,73,70,3,0.0410958904109589,2944.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/transformer_acc/test_predictions.json
transformer,acc_gyro,211,128,random,73,71,2,0.0273972602739726,2938.5915492957747,2560.0,2560.0,2560.0,outputs_user/imu_transition/main_5seed/seed211/transformer_acc_gyro/test_predictions.json
transformer,gyro,211,128,random,73,69,4,0.0547945205479452,2968.1159420289855,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed211/transformer_gyro/test_predictions.json
cnn,acc,42,128,random,75,71,4,0.05333333333333334,3263.0985915492956,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/cnn_acc/test_predictions.json
cnn,acc_gyro,42,128,random,75,73,2,0.02666666666666667,3261.3698630136987,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/cnn_acc_gyro/test_predictions.json
cnn,gyro,42,128,random,75,73,2,0.02666666666666667,3261.3698630136987,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/cnn_gyro/test_predictions.json
gru,acc,42,128,random,75,72,3,0.04,3235.5555555555557,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/gru_acc/test_predictions.json
gru,acc_gyro,42,128,random,75,72,3,0.04,3253.3333333333335,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/gru_acc_gyro/test_predictions.json
gru,gyro,42,128,random,75,68,7,0.09333333333333334,3237.6470588235293,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/gru_gyro/test_predictions.json
mamba3,acc,42,128,random,75,68,7,0.09333333333333334,3218.823529411765,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/mamba3_acc/test_predictions.json
mamba3,acc_gyro,42,128,random,75,71,4,0.05333333333333334,3299.154929577465,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/mamba3_acc_gyro/test_predictions.json
mamba3,gyro,42,128,random,75,71,4,0.05333333333333334,3245.0704225352115,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/mamba3_gyro/test_predictions.json
tcn,acc,42,128,random,75,72,3,0.04,3235.5555555555557,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/tcn_acc/test_predictions.json
tcn,acc_gyro,42,128,random,75,73,2,0.02666666666666667,3261.3698630136987,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/tcn_acc_gyro/test_predictions.json
tcn,gyro,42,128,random,75,73,2,0.02666666666666667,3261.3698630136987,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/tcn_gyro/test_predictions.json
transformer,acc,42,128,random,75,71,4,0.05333333333333334,3227.042253521127,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/transformer_acc/test_predictions.json
transformer,acc_gyro,42,128,random,75,72,3,0.04,3271.1111111111113,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/transformer_acc_gyro/test_predictions.json
transformer,gyro,42,128,random,75,65,10,0.13333333333333333,3249.230769230769,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed42/transformer_gyro/test_predictions.json
cnn,acc,73,128,random,70,63,7,0.1,3128.8888888888887,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed73/cnn_acc/test_predictions.json
cnn,acc_gyro,73,128,random,70,70,0,0.0,3163.4285714285716,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed73/cnn_acc_gyro/test_predictions.json
cnn,gyro,73,128,random,70,70,0,0.0,3163.4285714285716,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed73/cnn_gyro/test_predictions.json
gru,acc,73,128,random,70,68,2,0.02857142857142857,3162.3529411764707,2560.0,2560.0,3840.0,outputs_user/imu_transition/main_5seed/seed73/gru_acc/test_predictions.json
