,,stand-to-sit vs sit-to-stand → opp%,stand-to-sit vs sit-to-stand → opp%,sit-to-lie vs lie-to-sit → opp%,sit-to-lie vs lie-to-sit → opp%,stand-to-lie vs lie-to-stand → opp%,stand-to-lie vs lie-to-stand → opp%
,,mean,std,mean,std,mean,std
backbone,head,,,,,,
complex_selective,avgpool,0.016666666666666666,0.02886751345948129,0.0,0.0,0.0,0.0
complex_selective,gyrophase,0.03333333333333333,0.05773502691896258,0.0,0.0,0.007936507936507936,0.013746434980705375
complex_selective,gyrophase_rd,0.016666666666666666,0.02886751345948129,0.0,0.0,0.0,0.0
complex_selective,phase,0.0,0.0,0.0,0.0,0.0,0.0
complex_selective,selective_gyrophase,0.0,0.0,0.0,0.0,0.0,0.0
complex_static,avgpool,0.0,0.0,0.0,0.0,0.007936507936507936,0.013746434980705375
mamba3,avgpool,0.0,0.0,0.0,0.0,0.0,0.0
mamba3,gyrophase_rd,0.0,0.0,0.0,0.0,0.015873015873015872,0.013746434980705375
real_selective,avgpool,0.0,0.0,0.012820512820512822,0.022205779584216375,0.0,0.0
real_selective,gyrophase_rd,0.0,0.0,0.010416666666666666,0.018042195912175808,0.007936507936507936,0.013746434980705375
real_static,avgpool,0.016666666666666666,0.02886751345948129,0.010416666666666666,0.018042195912175808,0.0,0.0
tcn,avgpool,0.0,0.0,0.0,0.0,0.020757020757020756,0.019411615501324354
transformer,avgpool,0.016666666666666666,0.02886751345948129,0.0,0.0,0.007936507936507936,0.013746434980705375
transformer,gyrophase_rd,0.0,0.0,0.010416666666666666,0.018042195912175808,0.012820512820512822,0.022205779584216375
