backbone,head,pool,channels,seed,split_mode,task,params,inference_ms_per_window,train_elapsed_sec,epochs_trained,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss,per_class_f1,confusion_matrix,run_dir
transformer,gyrophase_rd,mean,acc_gyro,42,random,direction,84450,0.006645058274443727,9.216999292373657,31,0.9817073170731707,0.7729090979953754,0.982054102874549,0.9964732285989099,0.735648409561453,0.6060606060606061,0.9036144578313253,0.9615384615384616,0.9316770186335404,0.8857145979665447,"[0.9964732285989099, 0.8181818181818182, 1.0, 0.6060606060606061, 0.7142857142857143, 0.6666666666666666, 0.6086956521739131]","[[1554, 3, 0, 1, 0, 4, 0], [1, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [1, 0, 0, 10, 0, 5, 0], [0, 0, 0, 0, 10, 0, 3], [0, 0, 0, 6, 0, 15, 0], [1, 0, 0, 0, 5, 0, 7]]",seed42/transformer__gyrophase_rd__mean
real_static,avgpool,mean,acc_gyro,42,random,direction,26375,0.04776267858687788,67.49487447738647,30,0.9804878048780488,0.7545763833768231,0.980239410058927,0.9958319974350753,0.7143671143671143,0.4444444444444444,0.891566265060241,0.9487179487179487,0.9192546583850931,0.4733776475507312,"[0.9958319974350753, 0.8571428571428571, 1.0, 0.717948717948718, 0.4444444444444444, 0.6, 0.6666666666666666]","[[1553, 1, 0, 2, 0, 6, 0], [1, 9, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 1, 0, 14, 0, 1, 0], [0, 0, 0, 0, 4, 0, 9], [2, 0, 0, 7, 0, 12, 0], [1, 0, 0, 0, 1, 0, 11]]",seed42/real_static__avgpool__mean
tcn,avgpool,mean,acc_gyro,42,random,direction,222023,0.005379886242735665,6.242791652679443,26,0.9774390243902439,0.7619002643208338,0.9789062996205101,0.994535519125683,0.723127721853359,0.5,0.8351648351648352,0.9743589743589743,0.8994082840236687,0.6225324425641902,"[0.994535519125683, 0.782608695652174, 1.0, 0.6285714285714286, 0.8275862068965517, 0.5, 0.6]","[[1547, 3, 0, 1, 0, 11, 0], [0, 9, 0, 0, 0, 1, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 11, 0, 5, 0], [0, 0, 0, 0, 12, 0, 1], [0, 1, 0, 7, 0, 13, 0], [2, 0, 0, 0, 4, 1, 6]]",seed42/tcn__avgpool__mean
complex_selective,avgpool,mean,acc_gyro,42,random,direction,51079,0.1493412401759997,87.4785897731781,14,0.9695121951219512,0.6499448461205993,0.9719206377903946,0.9896973599484868,0.5933194271492849,0.42105263157894735,0.7395833333333334,0.9102564102564102,0.8160919540229885,0.6654987540913792,"[0.9896973599484868, 0.5925925925925926, 0.42105263157894735, 0.5925925925925926, 0.7407407407407407, 0.6415094339622641, 0.5714285714285714]","[[1537, 7, 8, 1, 1, 8, 0], [1, 8, 1, 0, 0, 0, 0], [1, 0, 4, 0, 0, 0, 0], [1, 0, 0, 8, 0, 7, 0], [0, 0, 1, 0, 10, 0, 2], [1, 2, 0, 1, 0, 17, 0], [3, 0, 0, 1, 3, 0, 6]]",seed42/complex_selective__avgpool__mean
real_selective,avgpool,mean,acc_gyro,42,random,direction,34567,0.04788728267158149,75.40436553955078,34,0.9835365853658536,0.8156033098266732,0.9840308395644348,0.9955070603337612,0.7856193514088252,0.6666666666666666,0.872093023255814,0.9615384615384616,0.9146341463414634,0.5710342580020973,"[0.9955070603337612, 1.0, 0.9090909090909091, 0.7894736842105263, 0.6666666666666666, 0.6818181818181818, 0.6666666666666666]","[[1551, 0, 1, 1, 0, 7, 2], [0, 10, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [1, 0, 0, 1, 8, 0, 3], [1, 0, 0, 5, 0, 15, 0], [1, 0, 0, 0, 3, 0, 9]]",seed42/real_selective__avgpool__mean
complex_selective,selective_gyrophase,mean,acc_gyro,42,random,direction,51254,0.1532981378113618,182.1554572582245,29,0.9725609756097561,0.7318238199796275,0.9745151542606431,0.9906662375281622,0.6886834170548717,0.5116279069767442,0.7578947368421053,0.9230769230769231,0.8323699421965318,0.5710269783328219,"[0.9906662375281622, 0.7619047619047619, 0.8, 0.5531914893617021, 0.8387096774193549, 0.5116279069767442, 0.6666666666666666]","[[1539, 3, 1, 9, 0, 10, 0], [2, 8, 0, 0, 0, 0, 0], [1, 0, 4, 0, 0, 0, 0], [1, 0, 0, 13, 0, 1, 1], [0, 0, 0, 0, 13, 0, 0], [1, 0, 0, 9, 0, 11, 0], [1, 0, 0, 0, 5, 0, 7]]",seed42/complex_selective__selective_gyrophase__mean
complex_selective,phase,mean,acc_gyro,42,random,direction,51100,0.1506589317432372,106.56293201446533,17,0.975609756097561,0.719808600516887,0.9767751049664741,0.9926068788171006,0.6743422208001847,0.6,0.8021978021978022,0.9358974358974359,0.863905325443787,0.5882656788317169,"[0.9926068788171006, 0.6956521739130435, 0.7272727272727273, 0.6451612903225806, 0.7741935483870968, 0.6037735849056604, 0.6]","[[1544, 4, 2, 2, 0, 10, 0], [2, 8, 0, 0, 0, 0, 0], [1, 0, 4, 0, 0, 0, 0], [0, 0, 0, 10, 0, 6, 0], [0, 0, 0, 0, 12, 0, 1], [1, 1, 0, 3, 0, 16, 0], [1, 0, 0, 0, 6, 0, 6]]",seed42/complex_selective__phase__mean
transformer,avgpool,mean,acc_gyro,42,random,direction,84359,0.00392035064578522,6.002350091934204,24,0.9774390243902439,0.7286132796064789,0.9787550907768835,0.9948553054662379,0.6842396086298526,0.5909090909090909,0.8369565217391305,0.9871794871794872,0.9058823529411765,0.6870648492865901,"[0.9948553054662379, 0.7619047619047619, 0.8333333333333334, 0.6829268292682927, 0.6363636363636364, 0.5909090909090909, 0.6]","[[1547, 3, 0, 3, 0, 8, 1], [0, 8, 1, 0, 0, 0, 1], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 14, 0, 2, 0], [0, 0, 0, 0, 7, 0, 6], [0, 0, 0, 7, 1, 13, 0], [1, 0, 1, 1, 1, 0, 9]]",seed42/transformer__avgpool__mean
complex_static,avgpool,mean,acc_gyro,42,random,direction,34695,0.15028066249215044,283.979553937912,46,0.9689024390243902,0.5892517041066537,0.9689180686774427,0.9919536530415192,0.5221347126175094,0.0,0.7789473684210526,0.9487179487179487,0.8554913294797688,0.6594537790592124,"[0.9919536530415192, 0.5833333333333334, 0.7692307692307693, 0.6470588235294118, 0.0, 0.6037735849056604, 0.5294117647058824]","[[1541, 6, 1, 3, 0, 11, 0], [1, 7, 0, 1, 0, 1, 0], [0, 0, 5, 0, 0, 0, 0], [1, 0, 0, 11, 0, 4, 0], [0, 0, 1, 0, 0, 0, 12], [1, 1, 0, 3, 0, 16, 0], [1, 0, 1, 0, 2, 0, 9]]",seed42/complex_static__avgpool__mean
real_selective,gyrophase_rd,mean,acc_gyro,42,random,direction,34679,0.051035286705882754,85.93556308746338,38,0.9817073170731707,0.7839004259618727,0.9819701125083033,0.9958293230670516,0.7485789431110096,0.5217391304347826,0.8823529411764706,0.9615384615384616,0.9202453987730062,0.536316595199268,"[0.9958293230670516, 0.9090909090909091, 1.0, 0.7368421052631579, 0.6896551724137931, 0.6341463414634146, 0.5217391304347826]","[[1552, 2, 0, 2, 1, 5, 0], [0, 10, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 14, 0, 2, 0], [0, 0, 0, 0, 10, 0, 3], [1, 0, 0, 6, 0, 13, 1], [2, 0, 0, 0, 5, 0, 6]]",seed42/real_selective__gyrophase_rd__mean
