spec,seed,n_windows,pearson_dphi_gyro,pearson_sel_gyro,pearson_sel_dphi,dphi_trans_mean,dphi_nontrans_mean,dphi_ratio,sel_trans_mean,sel_nontrans_mean,sel_ratio
complex_selective.avgpool.mean,42,1640,0.8730423211382751,-0.19588796157567254,-0.14583635821090174,0.2909823591128374,0.21480219412676121,1.354652638888409,0.9431241452693939,0.9441391571535802,0.9989249340242954
complex_selective.selective_gyrophase.mean,42,1640,0.7596841820563665,-0.8300272524529267,-0.5990558830103206,0.6596382290889056,0.5866556891196057,1.1244043845868514,0.9223850957858257,0.9408369778289379,0.9803878009921639
complex_selective.phase.mean,42,1640,0.8337544876119903,-0.17298461073486315,-0.08954295987119441,0.39429184030263853,0.3241385000301155,1.2164301379379652,0.9371277414835416,0.9427763613253336,0.9940085262279473
complex_static.avgpool.mean,42,1640,0.8466319072068895,,,0.04816247978940224,0.03731618088606874,1.2906594041991784,0.9549663066864014,0.9549663066864014,1.0
complex_selective.gyrophase_rd.mean,42,1640,0.8404845866361846,-0.685919766479305,-0.5958345938251621,0.5393030158220193,0.4229554447957175,1.2750823342219801,0.9286111402205932,0.9350580623452093,0.9931053242742525
complex_selective.gyrophase.mean,42,1640,0.8640600072162422,-0.2799521943918792,-0.20904322848243626,0.6058212640957955,0.46318780944686233,1.3079387059414747,0.9257729168121631,0.9321248166539757,0.9931855694341303
complex_selective.avgpool.mean,13,1640,0.822675956368379,-0.6924488498703402,-0.5204898069552316,0.39485614001750946,0.32438748486807495,1.2172360477411557,0.9323239670350001,0.9456789513021975,0.9858778877875968
complex_selective.selective_gyrophase.mean,13,1640,0.8070864533276431,-0.02500889356794479,-0.09457597906890083,0.671765522314952,0.535953117594142,1.2534035165808213,0.9199216617987707,0.91947984909126,1.0004805028712127
complex_selective.phase.mean,13,1640,0.6404713076623156,-0.8588052222270163,-0.6274155834775076,0.5450885261480625,0.5093382538586053,1.0701896470933079,0.9296683890697284,0.9451752793849965,0.983593635325124
complex_static.avgpool.mean,13,1640,0.8305453670602491,,,0.04104323217119926,0.03475137162064029,1.1810535888840132,0.9534043073654175,0.9534043073654175,1.0
complex_selective.gyrophase_rd.mean,13,1640,0.8133568784095434,0.32290657687975444,0.3744393711476442,0.5268969195775497,0.4130891562652954,1.2755041171769812,0.9316604542426574,0.9270332497991765,1.0049914115210898
complex_selective.gyrophase.mean,13,1640,0.8008640762681875,-0.5807799815267243,-0.4930775310055671,0.6355491005457364,0.5381663810084938,1.1809528112007905,0.9195274993395194,0.9265634001980365,0.9924064550175268
complex_selective.avgpool.mean,73,1640,0.7853416514517537,-0.4272386310732695,-0.3829457393716802,0.616750568151474,0.5371255946373055,1.1482427467786847,0.9156621205501068,0.9257046331898351,0.989151493597776
complex_selective.selective_gyrophase.mean,73,1640,0.8237162246216957,0.4941743408169866,0.6002784668354394,0.610750580445314,0.47312915000811734,1.2908749765995935,0.9244217047324548,0.9215304629063942,1.003137434889501
complex_selective.phase.mean,73,1640,0.7613776978945231,-0.8180828790971578,-0.710779748113,0.553621096488757,0.4770953480569257,1.1603992760430362,0.9303086522297982,0.9463697322352137,0.9830287471604982
complex_static.avgpool.mean,73,1640,0.833385871088803,,,0.04722293729010301,0.03781155584780702,1.2489022530619254,0.9532648324966431,0.9532648324966431,1.0
complex_selective.gyrophase_rd.mean,73,1640,0.8224948032137369,-0.561795836907603,-0.49754487340308506,0.5649585968408829,0.4590130491270451,1.2308116248880634,0.9253188157692934,0.9344376485112688,0.9902413684246313
complex_selective.gyrophase.mean,73,1640,0.8783759105850268,-0.027290615428793737,-0.07287248005567501,0.21525188917532945,0.16622638865761583,1.2949321158549243,0.9418442119390537,0.9406073771884591,1.0013149320115813
