backbone,head,seed,n_trans,full_dirF1,trans_only_dirF1,trans_gyro_high_dirF1,trans_gyro_low_dirF1,trans_rd_high_dirF1,trans_rd_low_dirF1,trans_gyrohi_rdhi_dirF1
transformer,gyrophase_rd,42,78,0.735648409561453,0.7711761840975716,0.6622782446311858,0.6720142602495544,0.7829801777170199,0.7583767110082901,0.6413255360623781
real_static,avgpool,42,78,0.7143671143671143,0.7456250368015075,0.5794922913343966,0.6809368191721132,0.7847466259230965,0.6685780722545429,0.5900326797385621
tcn,avgpool,42,78,0.723127721853359,0.7681318953148962,0.4533011272141707,0.7564184353658039,0.707977207977208,0.7893122400475342,0.4102934102934103
complex_selective,avgpool,42,78,0.5933194271492849,0.7064787064787065,0.48755734177729065,0.6088829471182412,0.6951803751803752,0.6686868686868688,0.494949494949495
real_selective,avgpool,42,78,0.7856193514088252,0.8347147147147146,0.738611322993474,0.7182539682539683,0.8843984962406015,0.7680911680911681,0.7600373482726424
complex_selective,selective_gyrophase,42,78,0.6886834170548717,0.7723385524743759,0.4694989106753813,0.7709485503603152,0.7480736154110766,0.768228262965105,0.4680744092508798
complex_selective,phase,42,78,0.6743422208001847,0.7565048198932169,0.47583481650987375,0.6911680911680911,0.7438725490196078,0.720906432748538,0.48692810457516345
transformer,avgpool,42,78,0.6842396086298526,0.739723306873942,0.45025150288308186,0.7293629573041337,0.6698361322200331,0.7847117794486217,0.44502923976608183
complex_static,avgpool,42,78,0.5221347126175094,0.6020175095127657,0.3351010101010101,0.611489898989899,0.5107546048722519,0.6621084797555385,0.3111111111111111
real_selective,gyrophase_rd,42,78,0.7485789431110096,0.7893374741200828,0.6516414141414142,0.7374999999999999,0.8391414141414142,0.7252886002886002,0.679046879046879
complex_selective,gyrophase_rd,42,78,0.728067490003118,0.8015877758888607,0.5008026602453847,0.7939093314093316,0.7776334776334776,0.8102707749766574,0.5078347578347578
mamba3,gyrophase_rd,42,78,0.7126905667506692,0.7793413032139274,0.6898692810457517,0.6507002801120448,0.8226627173995595,0.7228070175438597,0.7016178266178267
mamba3,avgpool,42,78,0.7784768459210921,0.8352586010480748,0.7065747097211629,0.8111556743909686,0.8737373737373737,0.7826210826210825,0.7425925925925926
complex_selective,gyrophase,42,78,0.7067390438591934,0.7914188205042777,0.5378510378510378,0.7374889243310295,0.8228785103785103,0.7309870956929782,0.5636752136752138
transformer,gyrophase_rd,13,78,0.7472196325807255,0.7963550413107369,0.5365377632534495,0.7224400871459694,0.7931216931216931,0.8003190164954871,0.5194749694749695
real_static,avgpool,13,78,0.6887215532018938,0.7768587928258093,0.50314889788574,0.7516597681071365,0.8053446666022731,0.7313222724987432,0.5263532763532763
tcn,avgpool,13,78,0.7543183896953066,0.77128743576112,0.5288721804511278,0.6330270119743804,0.8264550264550264,0.7037593984962406,0.5588869463869464
complex_selective,avgpool,13,78,0.5829361369288774,0.6921445639187574,0.4859022556390977,0.5653983815748522,0.8422549019607842,0.5636752136752138,0.5238400488400489
