,,full_dirF1,full_dirF1,trans_only_dirF1,trans_only_dirF1,trans_gyro_high_dirF1,trans_gyro_high_dirF1,trans_gyro_low_dirF1,trans_gyro_low_dirF1,trans_rd_high_dirF1,trans_rd_high_dirF1,trans_rd_low_dirF1,trans_rd_low_dirF1,trans_gyrohi_rdhi_dirF1,trans_gyrohi_rdhi_dirF1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
backbone,head,,,,,,,,,,,,,,
complex_selective,avgpool,0.6035282765279661,0.027174967717677842,0.7160474233054878,0.029860119246160458,0.5180041864472997,0.05417514940356841,0.631269982740571,0.0794664525815003,0.699761512996807,0.14025894220818158,0.6755080975669211,0.11539480395716181,0.5206320249798512,0.024238267197143386
complex_selective,gyrophase,0.6062731621399865,0.09152786210774641,0.7296437248202543,0.1054209972820951,0.5142298812926996,0.0229400339425146,0.6702770264173773,0.1267852441850639,0.7122891594665788,0.18111399956148663,0.6872306705640039,0.08898824878777266,0.5205877032674419,0.03844987472026888
complex_selective,gyrophase_rd,0.6236160568838153,0.09773942049131532,0.7678571771238674,0.05957158137417271,0.5511064693533734,0.12347745734308177,0.7086386690746856,0.09839358650498704,0.7423084712558397,0.042388705382428206,0.7379231607172784,0.08168970361800797,0.544801340634674,0.11004177784391113
complex_selective,phase,0.6258377541408819,0.04275107517923052,0.7033176977709047,0.04871638088089282,0.4623564929083093,0.012118489452959172,0.6474271371330195,0.07883740041342951,0.6688212205369067,0.13545888899337163,0.6853797761692498,0.08322864690051562,0.46349282782720475,0.029063892003649373
complex_selective,selective_gyrophase,0.5978999922450517,0.0898465155809041,0.703363246715949,0.06288336519757473,0.49879133665898373,0.1142866189332576,0.6742241055966547,0.09060797907212943,0.7074292847770659,0.035458139438449485,0.6925089784357518,0.06566053093548053,0.4956980360518786,0.11510959302864424
complex_static,avgpool,0.5820994029401598,0.06029282131427956,0.669223890343435,0.058251538841892964,0.4847553708866474,0.16581000222002476,0.643367144837733,0.04400382964363326,0.6152177603584253,0.11412188814010504,0.6876438300070911,0.05934583638900424,0.4626382876382877,0.14514379153467521
mamba3,avgpool,0.7552660081252665,0.05866416734886545,0.8088015282313528,0.05427552995221842,0.6399494396093685,0.09764079572460606,0.7961457297241612,0.05260694045818122,0.8058442973148855,0.10139946902514621,0.8014973225757539,0.042482929022016176,0.6427287017866727,0.09667100404053203
mamba3,gyrophase_rd,0.761122687580836,0.04397917881360768,0.8002348277581016,0.019060464962015595,0.6700542915963186,0.13160576870101978,0.7497032527347285,0.0859957993082853,0.7998867469829357,0.022496676593083808,0.793150758579035,0.06103685728204938,0.6550106991773659,0.13783675540455526
real_selective,avgpool,0.7560348723051237,0.0487893268132538,0.7977123242720161,0.05448753038769422,0.5821037496623728,0.14657885886335142,0.7924816177783155,0.10625335344911548,0.7577804851733889,0.17455181411089074,0.7939267159855395,0.02251008164112355,0.5937658855568774,0.14893802708077297
real_selective,gyrophase_rd,0.6937384011475053,0.0837027009830154,0.7400641558938155,0.06957192116873719,0.6021233396233396,0.059241200053102315,0.6599447904272465,0.07607978036717543,0.7534410638985802,0.11874251353765793,0.7059102934102933,0.020774168859773994,0.6021706688373355,0.06805955781009854
real_static,avgpool,0.6840757311813719,0.03286152663203935,0.7342432561344004,0.04930182136882599,0.5310743999340491,0.042095509817921796,0.7187985561050576,0.035625662291452656,0.7095277853391444,0.14847889894112656,0.7196057482822189,0.04629507164494558,0.5329311211664153,0.05411331483912351
tcn,avgpool,0.7492088494652563,0.02393888151298037,0.7763039790784297,0.01153014622999637,0.5822622424837106,0.16237829263617237,0.7188865715181505,0.07455223316650367,0.7831927819757434,0.06538355923579092,0.7492337560578015,0.043030904743887884,0.579826500659834,0.18091401551321348
transformer,avgpool,0.6925323109929771,0.02200271038100552,0.7626650245930451,0.022245477688977406,0.5670665762929153,0.12354496645057822,0.6863470011431826,0.05562770669777177,0.7753619879294004,0.0956935576629092,0.7231281026430666,0.05651540644373549,0.5660368327607076,0.11963932639807298
transformer,gyrophase_rd,0.7175681673262129,0.04173979187125795,0.7625721028199745,0.03880706503038744,0.5755312618874711,0.07525266505405145,0.7207669599826462,0.04793803937960847,0.703599937262218,0.1463612853622393,0.7798105527465693,0.02098645969935699,0.5498724147846955,0.08067054493646496
