backbone,head,pool,channels,seed,split_mode,task,params,inference_ms_per_window,train_elapsed_sec,epochs_trained,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss,per_class_f1,confusion_matrix,run_dir
transformer,gyrophase_rd,mean,acc_gyro,42,subject,direction,84450,0.006689498623018153,14.482596635818481,50,0.9821958456973294,0.7659613889325101,0.9819743422724775,0.9965635738831615,0.727527691440735,0.5945945945945946,0.8977272727272727,0.9753086419753086,0.9349112426035503,0.5809950782030334,"[0.9965635738831615, 0.7272727272727273, 0.8888888888888888, 0.76, 0.6086956521739131, 0.5945945945945946, 0.7857142857142857]","[[1595, 4, 1, 0, 3, 1, 0], [1, 8, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 19, 0, 0, 0], [0, 0, 0, 0, 7, 0, 5], [1, 1, 0, 11, 1, 11, 0], [0, 0, 0, 1, 0, 0, 11]]",seed42/transformer__gyrophase_rd__mean
tcn,avgpool,mean,acc_gyro,42,subject,direction,222023,0.005475304387800861,8.660371541976929,37,0.9816023738872404,0.7624081516664637,0.982926256697002,0.9956195244055068,0.7235395895432899,0.5333333333333333,0.8602150537634409,0.9876543209876543,0.9195402298850575,0.550043763284425,"[0.9956195244055068, 0.8, 0.5333333333333333, 0.7111111111111111, 0.8333333333333334, 0.6808510638297872, 0.782608695652174]","[[1591, 3, 7, 1, 0, 2, 0], [1, 8, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 16, 0, 3, 0], [0, 0, 0, 0, 10, 0, 2], [0, 0, 0, 9, 0, 16, 0], [0, 0, 0, 0, 2, 1, 9]]",seed42/tcn__avgpool__mean
transformer,avgpool,mean,acc_gyro,42,subject,direction,84359,0.003923761869373266,5.657476902008057,22,0.9845697329376855,0.7997299100725547,0.9844651644011339,0.997191887675507,0.7668195804720627,0.65,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.396406508137635,"[0.997191887675507, 0.7619047619047619, 0.8888888888888888, 0.723404255319149, 0.8148148148148148, 0.65, 0.7619047619047619]","[[1598, 3, 1, 0, 0, 2, 0], [1, 8, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [1, 1, 0, 17, 0, 0, 0], [0, 0, 0, 0, 11, 0, 1], [1, 0, 0, 11, 0, 13, 0], [0, 0, 0, 0, 4, 0, 8]]",seed42/transformer__avgpool__mean
mamba3,gyrophase_rd,mean,acc_gyro,42,subject,direction,240498,0.01569075062434422,12.383365631103516,24,0.9821958456973294,0.7801225071732713,0.9832717476612387,0.9956195244055068,0.7442063376345653,0.6511627906976745,0.8602150537634409,0.9876543209876543,0.9195402298850575,0.3857054607848739,"[0.9956195244055068, 0.7272727272727273, 0.75, 0.6511627906976745, 0.7586206896551724, 0.76, 0.8181818181818182]","[[1591, 4, 0, 4, 2, 3, 0], [1, 8, 0, 0, 0, 0, 0], [0, 0, 3, 0, 1, 0, 0], [0, 1, 1, 14, 0, 3, 0], [0, 0, 0, 0, 11, 0, 1], [0, 0, 0, 6, 0, 19, 0], [0, 0, 0, 0, 3, 0, 9]]",seed42/mamba3__gyrophase_rd__mean
mamba3,avgpool,mean,acc_gyro,42,subject,direction,240407,0.01150118656369159,16.89292001724243,36,0.9881305637982196,0.8532024053499457,0.988288390907134,0.9984389634717452,0.8289963123296458,0.7111111111111111,0.9418604651162791,1.0,0.9700598802395209,0.4080902150868043,"[0.9984389634717452, 0.8571428571428571, 1.0, 0.7727272727272727, 0.8148148148148148, 0.7111111111111111, 0.8181818181818182]","[[1599, 2, 0, 0, 0, 3, 0], [0, 9, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 1, 0, 17, 0, 1, 0], [0, 0, 0, 0, 11, 0, 1], [0, 0, 0, 8, 1, 16, 0], [0, 0, 0, 0, 3, 0, 9]]",seed42/mamba3__avgpool__mean
transformer,gyrophase_rd,mean,acc_gyro,13,subject,direction,84450,0.006716382486047223,8.80157732963562,30,0.9833425874514159,0.7553362455140915,0.9832547455248791,0.9982486865148862,0.7148508386806259,0.64,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.5411940902629876,"[0.9982486865148862, 0.7777777777777778, 0.8571428571428571, 0.6666666666666666, 0.6666666666666666, 0.6808510638297872, 0.64]","[[1710, 2, 0, 1, 0, 0, 0], [1, 7, 0, 0, 0, 0, 0], [1, 0, 6, 0, 0, 0, 0], [0, 0, 1, 12, 0, 8, 0], [0, 0, 0, 1, 12, 0, 2], [1, 1, 0, 1, 3, 16, 1], [0, 0, 0, 0, 6, 0, 8]]",seed13/transformer__gyrophase_rd__mean
tcn,avgpool,mean,acc_gyro,13,subject,direction,222023,0.005390982478274964,6.9856085777282715,30,0.9844530816213215,0.7928810731049447,0.984717404411856,0.9985384390529085,0.7586048454469506,0.6428571428571429,0.946236559139785,1.0,0.9723756906077348,0.33351991627126704,"[0.9985384390529085, 0.8421052631578947, 1.0, 0.6666666666666666, 0.6428571428571429, 0.6666666666666666, 0.7333333333333333]","[[1708, 2, 0, 0, 0, 3, 0], [0, 8, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 1, 0, 13, 0, 6, 1], [0, 0, 0, 0, 9, 2, 4], [0, 0, 0, 5, 1, 17, 0], [0, 0, 0, 0, 3, 0, 11]]",seed13/tcn__avgpool__mean
transformer,avgpool,mean,acc_gyro,13,subject,direction,84359,0.003930062011932023,8.490874528884888,35,0.9816768461965575,0.7597710382538329,0.9815694921398362,0.9967883211678832,0.7202681577681577,0.5714285714285714,0.9325842696629213,0.9431818181818182,0.9378531073446328,0.5132026226899826,"[0.9967883211678832, 0.7777777777777778, 0.875, 0.6666666666666666, 0.7878787878787878, 0.5714285714285714, 0.6428571428571429]","[[1707, 1, 1, 1, 0, 2, 1], [0, 7, 0, 0, 0, 1, 0], [0, 0, 7, 0, 0, 0, 0], [0, 1, 1, 11, 0, 8, 0], [0, 0, 0, 0, 13, 1, 1], [5, 1, 0, 0, 0, 14, 3], [0, 0, 0, 0, 5, 0, 9]]",seed13/transformer__avgpool__mean
mamba3,gyrophase_rd,mean,acc_gyro,13,subject,direction,240498,0.015608887188136578,9.369804382324219,18,0.9894503053858967,0.8538920617506494,0.9895911024184716,0.9982466393921683,0.829832965477063,0.6956521739130435,0.9456521739130435,0.9886363636363636,0.9666666666666667,0.33965174829497363,"[0.9982466393921683, 0.8888888888888888, 0.9333333333333333, 0.8947368421052632, 0.7428571428571429, 0.8235294117647058, 0.6956521739130435]","[[1708, 2, 0, 0, 0, 3, 0], [0, 8, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 1, 17, 0, 3, 0], [0, 0, 0, 0, 13, 1, 1], [1, 0, 0, 0, 1, 21, 0], [0, 0, 0, 0, 6, 0, 8]]",seed13/mamba3__gyrophase_rd__mean
mamba3,avgpool,mean,acc_gyro,13,subject,direction,240407,0.011524875335453544,35.71968197822571,31,0.9877845641310383,0.830458024605097,0.9877131919528935,0.997957397140356,0.8025414625158871,0.6,0.9655172413793104,0.9545454545454546,0.96,0.4018923165133632,"[0.997957397140356, 0.9411764705882353, 0.9333333333333333, 0.8717948717948718, 0.6, 0.8260869565217391, 0.6428571428571429]","[[1710, 1, 0, 0, 1, 1, 0], [0, 8, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 1, 17, 0, 3, 0], [0, 0, 0, 1, 9, 0, 5], [4, 0, 0, 0, 0, 19, 0], [0, 0, 0, 0, 5, 0, 9]]",seed13/mamba3__avgpool__mean
transformer,gyrophase_rd,mean,acc_gyro,73,subject,direction,84450,0.006700294397887774,9.06804370880127,31,0.981203007518797,0.7441826311784067,0.9813853548686716,0.9974525898669686,0.7019709713969796,0.5263157894736842,0.9191919191919192,0.9891304347826086,0.9528795811518325,0.6443544014306513,"[0.9974525898669686, 0.5263157894736842, 1.0, 0.7037037037037037, 0.6875, 0.6046511627906976, 0.6896551724137931]","[[1762, 3, 0, 4, 0, 1, 0], [1, 5, 0, 1, 0, 3, 1], [0, 0, 7, 0, 0, 0, 0], [0, 0, 0, 19, 0, 0, 0], [0, 0, 0, 0, 11, 0, 4], [0, 0, 0, 11, 2, 13, 0], [0, 0, 0, 0, 4, 0, 10]]",seed73/transformer__gyrophase_rd__mean
tcn,avgpool,mean,acc_gyro,73,subject,direction,222023,0.005380876864364836,6.4253034591674805,27,0.9849624060150376,0.8015343686640808,0.9852628666136939,0.9974525898669686,0.7688813317969329,0.6153846153846154,0.9191919191919192,0.9891304347826086,0.9528795811518325,0.46987599961698906,"[0.9974525898669686, 0.8, 0.9230769230769231, 0.8260869565217391, 0.7428571428571429, 0.7058823529411765, 0.6153846153846154]","[[1762, 1, 0, 1, 0, 4, 2], [0, 8, 0, 0, 0, 3, 0], [0, 0, 6, 0, 1, 0, 0], [0, 0, 0, 19, 0, 0, 0], [0, 0, 0, 0, 13, 0, 2], [1, 0, 0, 7, 0, 18, 0], [0, 0, 0, 0, 6, 0, 8]]",seed73/tcn__avgpool__mean
transformer,avgpool,mean,acc_gyro,73,subject,direction,84359,0.003926591089111753,5.86385178565979,23,0.9817400644468314,0.7755880877337379,0.9826427214848286,0.996600566572238,0.7387526745939877,0.6666666666666666,0.8921568627450981,0.9891304347826086,0.9381443298969072,0.5159292413120855,"[0.996600566572238, 0.7058823529411765, 0.9230769230769231, 0.6976744186046512, 0.7333333333333333, 0.6666666666666666, 0.7058823529411765]","[[1759, 0, 0, 3, 1, 4, 3], [0, 6, 0, 0, 0, 4, 1], [0, 0, 6, 0, 1, 0, 0], [0, 0, 0, 15, 0, 4, 0], [0, 0, 0, 0, 11, 0, 4], [1, 0, 0, 6, 0, 19, 0], [0, 0, 0, 0, 2, 0, 12]]",seed73/transformer__avgpool__mean
