backbone,head,pool,channels,seed,split_mode,task,params,inference_ms_per_window,train_elapsed_sec,epochs_trained,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss
tcn,avgpool,mean,acc_gyro,13,subject,direction,222023,0.005390982478274964,6.9856085777282715,30,0.9844530816213215,0.7928810731049447,0.984717404411856,0.9985384390529085,0.7586048454469506,0.6428571428571429,0.946236559139785,1.0,0.9723756906077348,0.33351991627126704
transformer,avgpool,mean,acc_gyro,13,subject,direction,84359,0.003930062011932023,8.490874528884888,35,0.9816768461965575,0.7597710382538329,0.9815694921398362,0.9967883211678832,0.7202681577681577,0.5714285714285714,0.9325842696629213,0.9431818181818182,0.9378531073446328,0.5132026226899826
mamba3,avgpool,mean,acc_gyro,13,subject,direction,240407,0.011524875335453544,35.71968197822571,31,0.9877845641310383,0.830458024605097,0.9877131919528935,0.997957397140356,0.8025414625158871,0.6,0.9655172413793104,0.9545454545454546,0.96,0.4018923165133632
mamba3,gyrophase_rd,mean,acc_gyro,13,subject,direction,240498,0.015608887188136578,9.369804382324219,18,0.9894503053858967,0.8538920617506494,0.9895911024184716,0.9982466393921683,0.829832965477063,0.6956521739130435,0.9456521739130435,0.9886363636363636,0.9666666666666667,0.33965174829497363
transformer,gyrophase_rd,mean,acc_gyro,13,subject,direction,84450,0.006716382486047223,8.80157732963562,30,0.9833425874514159,0.7553362455140915,0.9832547455248791,0.9982486865148862,0.7148508386806259,0.64,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.5411940902629876
tcn,avgpool,mean,acc_gyro,42,subject,direction,222023,0.005475304387800861,8.660371541976929,37,0.9816023738872404,0.7624081516664637,0.982926256697002,0.9956195244055068,0.7235395895432899,0.5333333333333333,0.8602150537634409,0.9876543209876543,0.9195402298850575,0.550043763284425
transformer,avgpool,mean,acc_gyro,42,subject,direction,84359,0.003923761869373266,5.657476902008057,22,0.9845697329376855,0.7997299100725547,0.9844651644011339,0.997191887675507,0.7668195804720627,0.65,0.9285714285714286,0.9629629629629629,0.9454545454545454,0.396406508137635
mamba3,avgpool,mean,acc_gyro,42,subject,direction,240407,0.01150118656369159,16.89292001724243,36,0.9881305637982196,0.8532024053499457,0.988288390907134,0.9984389634717452,0.8289963123296458,0.7111111111111111,0.9418604651162791,1.0,0.9700598802395209,0.4080902150868043
mamba3,gyrophase_rd,mean,acc_gyro,42,subject,direction,240498,0.01569075062434422,12.383365631103516,24,0.9821958456973294,0.7801225071732713,0.9832717476612387,0.9956195244055068,0.7442063376345653,0.6511627906976745,0.8602150537634409,0.9876543209876543,0.9195402298850575,0.3857054607848739
transformer,gyrophase_rd,mean,acc_gyro,42,subject,direction,84450,0.006689498623018153,14.482596635818481,50,0.9821958456973294,0.7659613889325101,0.9819743422724775,0.9965635738831615,0.727527691440735,0.5945945945945946,0.8977272727272727,0.9753086419753086,0.9349112426035503,0.5809950782030334
tcn,avgpool,mean,acc_gyro,73,subject,direction,222023,0.005380876864364836,6.4253034591674805,27,0.9849624060150376,0.8015343686640808,0.9852628666136939,0.9974525898669686,0.7688813317969329,0.6153846153846154,0.9191919191919192,0.9891304347826086,0.9528795811518325,0.46987599961698906
transformer,avgpool,mean,acc_gyro,73,subject,direction,84359,0.003926591089111753,5.86385178565979,23,0.9817400644468314,0.7755880877337379,0.9826427214848286,0.996600566572238,0.7387526745939877,0.6666666666666666,0.8921568627450981,0.9891304347826086,0.9381443298969072,0.5159292413120855
mamba3,avgpool,mean,acc_gyro,73,subject,direction,240407,0.011475749997771345,6.841030120849609,14,0.9806659505907627,0.7656436494779061,0.9812383294372764,0.996886498726295,0.7271031746031746,0.5416666666666666,0.9090909090909091,0.9782608695652174,0.9424083769633508,0.4198822010939723
mamba3,gyrophase_rd,mean,acc_gyro,73,subject,direction,240498,0.01544047030620277,14.312058448791504,27,0.9833512352309345,0.7749128046948842,0.9834725916908776,0.996608253250424,0.7379635632689608,0.5925925925925926,0.925531914893617,0.9456521739130435,0.9354838709677419,0.5613871848716617
transformer,gyrophase_rd,mean,acc_gyro,73,subject,direction,84450,0.006700294397887774,9.06804370880127,31,0.981203007518797,0.7441826311784067,0.9813853548686716,0.9974525898669686,0.7019709713969796,0.5263157894736842,0.9191919191919192,0.9891304347826086,0.9528795811518325,0.6443544014306513
