model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,task,num_classes,accuracy,macro_f1,weighted_f1,non_transition_f1,direction_macro_f1,worst_direction_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_weighted_f1,best_val_non_transition_f1,best_val_direction_macro_f1,best_val_worst_direction_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_per_class_f1,best_val_confusion_matrix,best_val_loss
real_ssm,gyro,34375,0.04767727841681335,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed13/real_ssm_gyro/best.pt,13,128,64,random,direction,7,0.9725609756097561,0.6964001147230959,0.9742630070334206,0.9919484702093397,0.6471420554753887,0.45454545454545453,0.7731958762886598,0.9615384615384616,0.8571428571428571,0.5658865894849707,7650,1639,1640,0.9768151311775473,0.7362486332347473,0.9787056562985437,0.9935567010309279,0.6933639552687172,0.5925925925925926,0.7938144329896907,1.0,0.8850574712643678,"[0.9935567010309279, 0.6923076923076923, 0.8333333333333334, 0.7222222222222222, 0.5925925925925926, 0.6530612244897959, 0.6666666666666666]","[[1542, 5, 1, 2, 3, 7, 2], [0, 9, 1, 0, 0, 1, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 13, 0, 3, 0], [0, 1, 0, 0, 8, 1, 2], [0, 0, 0, 5, 0, 16, 0], [0, 0, 0, 0, 4, 0, 8]]",0.485722893818331
real_ssm,acc_gyro,34567,0.04758198705530958,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed13/real_ssm_acc_gyro/best.pt,13,128,64,random,direction,7,0.9859756097560975,0.7946845799361928,0.9859458283066701,0.9984,0.7607320099255585,0.6451612903225806,0.974025974025974,0.9615384615384616,0.967741935483871,0.8004024542186682,7650,1639,1640,0.9890176937156803,0.8711818984671806,0.9892693747219922,0.997755690926579,0.8500862663906141,0.7142857142857143,0.926829268292683,0.987012987012987,0.9559748427672956,"[0.997755690926579, 0.9166666666666666, 1.0, 0.8, 0.8695652173913043, 0.7142857142857143, 0.8]","[[1556, 0, 0, 0, 0, 4, 2], [0, 11, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 14, 0, 2, 0], [1, 0, 0, 0, 10, 0, 1], [0, 1, 0, 5, 0, 15, 0], [0, 1, 0, 0, 1, 0, 10]]",0.5837159266830618
complex_ssm,gyro,50887,0.14855939018161735,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed13/complex_ssm_gyro/best.pt,13,128,64,random,direction,7,0.524390243902439,0.13229651432343953,0.6666791159443688,0.6976358357527996,0.03807329408521284,0.0,0.08849557522123894,0.8974358974358975,0.1611047180667434,1.8877242512819243,7650,1639,1640,0.5228798047589994,0.15932781927185183,0.6622779110393014,0.6916979557780559,0.07059946318748449,0.027972027972027972,0.08830845771144279,0.922077922077922,0.1611804767309875,"[0.6916979557780559, 0.14545454545454545, 0.09302325581395349, 0.027972027972027972, 0.041025641025641026, 0.07142857142857142, 0.0446927374301676]","[[829, 79, 73, 119, 172, 135, 155], [0, 8, 1, 0, 0, 0, 2], [0, 0, 4, 0, 1, 0, 0], [2, 6, 2, 2, 1, 2, 1], [1, 2, 0, 1, 4, 2, 2], [1, 3, 1, 3, 4, 6, 3], [2, 1, 0, 2, 1, 2, 4]]",1.6345417414444696
complex_ssm,acc_gyro,51079,0.14881419450830435,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed13/complex_ssm_acc_gyro/best.pt,13,128,64,random,direction,7,0.3853658536585366,0.11863182435426735,0.5319370497692544,0.5558107487367937,0.04576867029051296,0.0,0.06634146341463415,0.8717948717948718,0.12330009066183137,1.518938289909828,7650,1639,1640,0.425869432580842,0.16711502629554564,0.5695740396108177,0.592328278322926,0.09624615095764888,0.007042253521126761,0.06360792492179354,0.7922077922077922,0.11776061776061776,"[0.592328278322926, 0.11267605633802817, 0.007042253521126761, 0.23880597014925373, 0.09433962264150944, 0.06578947368421052, 0.058823529411764705]","[[664, 52, 275, 39, 87, 263, 182], [1, 4, 2, 0, 0, 3, 1], [4, 0, 1, 0, 0, 0, 0], [1, 0, 0, 8, 1, 6, 0], [2, 1, 1, 0, 5, 1, 2], [3, 3, 0, 4, 0, 10, 1], [5, 0, 0, 0, 1, 0, 6]]",1.528996170185338
real_ssm,gyro,34375,0.04789288643223699,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed42/real_ssm_gyro/best.pt,42,128,64,random,direction,7,0.974390243902439,0.7544853392038268,0.9761309060236231,0.992282958199357,0.7148524027045716,0.5161290322580645,0.7934782608695652,0.9358974358974359,0.8588235294117647,0.8503945354917427,7650,1639,1640,0.975594874923734,0.7445949855584251,0.9771496339698703,0.993581514762516,0.7030972306910765,0.425531914893617,0.8352941176470589,0.922077922077922,0.8765432098765432,"[0.993581514762516, 0.7619047619047619, 0.8888888888888888, 0.5263157894736842, 0.8333333333333334, 0.425531914893617, 0.782608695652174]","[[1548, 0, 0, 3, 0, 11, 0], [2, 8, 0, 0, 0, 1, 0], [0, 0, 4, 1, 0, 0, 0], [2, 0, 0, 10, 0, 3, 1], [1, 0, 0, 0, 10, 1, 0], [1, 2, 0, 7, 0, 10, 1], [0, 0, 0, 1, 2, 0, 9]]",1.1396141261671504
real_ssm,acc_gyro,34567,0.04782475298270583,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed42/real_ssm_acc_gyro/best.pt,42,128,64,random,direction,7,0.9835365853658536,0.7778197922236526,0.9829728261048136,0.9971181556195965,0.7412700649909952,0.5454545454545454,0.9367088607594937,0.9487179487179487,0.9426751592356688,0.6227090357916384,7650,1639,1640,0.987797437461867,0.8269461940882156,0.9879187957976685,0.9980781550288277,0.7984242005981136,0.7222222222222222,0.9493670886075949,0.974025974025974,0.9615384615384616,"[0.9980781550288277, 0.9523809523809523, 0.8333333333333334, 0.75, 0.75, 0.7222222222222222, 0.782608695652174]","[[1558, 0, 1, 2, 0, 0, 1], [1, 10, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 15, 0, 1, 0], [0, 0, 1, 0, 9, 1, 1], [1, 0, 0, 6, 1, 13, 0], [0, 0, 0, 1, 2, 0, 9]]",0.593015684141045
complex_ssm,gyro,50887,0.14863522748782998,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed42/complex_ssm_gyro/best.pt,42,128,64,random,direction,7,0.5719512195121951,0.14146801419168956,0.7048187230221089,0.7375601926163724,0.042119317787575716,0.0,0.09436619718309859,0.8589743589743589,0.1700507614213198,1.680034727585025,7650,1639,1640,0.5704697986577181,0.14722964200549699,0.7033852594905943,0.7354007249295207,0.04920112818482636,0.0,0.09610027855153204,0.8961038961038961,0.17358490566037735,"[0.7354007249295207, 0.0, 0.024691358024691357, 0.03821656050955414, 0.06896551724137931, 0.07, 0.09333333333333334]","[[913, 75, 69, 126, 98, 160, 121], [0, 0, 0, 4, 1, 3, 3], [3, 0, 1, 0, 0, 1, 0], [1, 2, 3, 3, 0, 4, 3], [0, 0, 1, 1, 4, 2, 4], [3, 2, 2, 7, 0, 7, 0], [1, 1, 0, 0, 1, 2, 7]]",1.6165053993554432
complex_ssm,acc_gyro,51079,0.14985805013566278,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed42/complex_ssm_acc_gyro/best.pt,42,128,64,random,direction,7,0.6079268292682927,0.1869820366240468,0.7277634455364044,0.7587563951200315,0.09168631020804933,0.014492753623188406,0.09531013615733737,0.8076923076923077,0.17050067658998647,1.484393338459294,7650,1639,1640,0.6095179987797438,0.1891690427646504,0.7284127670853751,0.7584313725490196,0.09429198780058885,0.0,0.08602150537634409,0.7272727272727273,0.15384615384615385,"[0.7584313725490196, 0.058823529411764705, 0.0, 0.128, 0.05194805194805195, 0.21739130434782608, 0.1095890410958904]","[[967, 115, 147, 97, 62, 54, 120], [3, 4, 0, 0, 1, 1, 2], [5, 0, 0, 0, 0, 0, 0], [3, 0, 0, 8, 0, 4, 1], [2, 3, 0, 0, 2, 2, 3], [5, 3, 0, 3, 0, 10, 0], [3, 0, 0, 1, 0, 0, 8]]",1.4821949398248497
real_ssm,gyro,34375,0.04729869157017674,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed73/real_ssm_gyro/best.pt,73,128,64,random,direction,7,0.9719512195121951,0.6876919681129632,0.9739016473742431,0.9922730199613651,0.636928459471563,0.4375,0.78125,0.9615384615384616,0.8620689655172413,1.143251414415313,7650,1639,1640,0.9768151311775473,0.7441777979717086,0.9784531396337042,0.9948586118251928,0.702397662329461,0.5098039215686274,0.8426966292134831,0.974025974025974,0.9036144578313253,"[0.9948586118251928, 0.8695652173913043, 1.0, 0.6060606060606061, 0.6363636363636364, 0.5098039215686274, 0.5925925925925926]","[[1548, 1, 0, 1, 0, 10, 2], [0, 10, 0, 0, 0, 1, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 10, 0, 6, 0], [0, 0, 0, 0, 7, 0, 5], [2, 0, 0, 6, 0, 13, 0], [0, 1, 0, 0, 3, 0, 8]]",0.5118296698526758
real_ssm,acc_gyro,34567,0.04753751876705792,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/ssm_ablation_5seed/seed73/real_ssm_acc_gyro/best.pt,73,128,64,random,direction,7,0.9792682926829268,0.7408236024428219,0.9802593771438386,0.9958319974350753,0.6983222032774462,0.5416666666666666,0.891566265060241,0.9487179487179487,0.9192546583850931,0.8023673821694968,7650,1639,1640,0.987797437461867,0.8541400776274533,0.9880010093515731,0.9977571291252804,0.8302039023778155,0.6666666666666666,0.9375,0.974025974025974,0.9554140127388535,"[0.9977571291252804, 0.9090909090909091, 1.0, 0.7428571428571429, 0.88, 0.6666666666666666, 0.782608695652174]","[[1557, 1, 0, 0, 0, 4, 0], [1, 10, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 13, 0, 3, 0], [0, 0, 0, 0, 11, 0, 1], [0, 0, 0, 6, 0, 14, 1], [1, 0, 0, 0, 2, 0, 9]]",0.2595925884522484
