model,channels,seed,window_size,split_mode,n_segments_in_test,n_detected,n_missed,miss_rate,latency_ms_mean,latency_ms_median,latency_ms_p25,latency_ms_p75,prediction_path
cnn,acc,13,128,subject,54,49,5,0.09259259259259259,2690.612244897959,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/cnn_acc/test_predictions.json
cnn,acc_gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/cnn_acc_gyro/test_predictions.json
cnn,gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/cnn_gyro/test_predictions.json
gru,acc,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/gru_acc/test_predictions.json
gru,acc_gyro,13,128,subject,54,54,0,0.0,2607.4074074074074,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/gru_acc_gyro/test_predictions.json
gru,gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/gru_gyro/test_predictions.json
mamba3,acc,13,128,subject,54,52,2,0.037037037037037035,2584.6153846153848,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/mamba3_acc/test_predictions.json
mamba3,acc_gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/mamba3_acc_gyro/test_predictions.json
mamba3,gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/mamba3_gyro/test_predictions.json
tcn,acc,13,128,subject,54,54,0,0.0,2607.4074074074074,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/tcn_acc/test_predictions.json
tcn,acc_gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/tcn_acc_gyro/test_predictions.json
tcn,gyro,13,128,subject,54,54,0,0.0,2583.703703703704,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/tcn_gyro/test_predictions.json
transformer,acc,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/transformer_acc/test_predictions.json
transformer,acc_gyro,13,128,subject,54,54,0,0.0,2560.0,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/transformer_acc_gyro/test_predictions.json
transformer,gyro,13,128,subject,54,54,0,0.0,2607.4074074074074,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed13/transformer_gyro/test_predictions.json
cnn,acc,137,128,subject,53,52,1,0.018867924528301886,2633.846153846154,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed137/cnn_acc/test_predictions.json
cnn,acc_gyro,137,128,subject,53,53,0,0.0,2632.4528301886794,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed137/cnn_acc_gyro/test_predictions.json
cnn,gyro,137,128,subject,53,53,0,0.0,2704.9056603773583,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed137/cnn_gyro/test_predictions.json
gru,acc,137,128,subject,53,51,2,0.03773584905660377,2685.4901960784314,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed137/gru_acc/test_predictions.json
gru,acc_gyro,137,128,subject,53,52,1,0.018867924528301886,2707.6923076923076,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed137/gru_acc_gyro/test_predictions.json
gru,gyro,137,128,subject,53,53,0,0.0,2608.301886792453,2560.0,2560.0,2560.0,outputs_user/imu_transition/subject_5seed/seed137/gru_gyro/test_predictions.json
