model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc,75906,0.0017320884217042476,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/cnn_acc/best.pt,13,128,64,subject,0.9905607995558023,0.947814985827534,0.927710843373494,0.875,0.9005847953216374,0.10579490655185042,7651,1477,1801,0.987813134732566,0.9450384519970231,0.8125,1.0,0.896551724137931,0.03476067177620928
cnn,gyro,75906,0.0017318787286058068,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/cnn_gyro/best.pt,13,128,64,subject,0.9961132704053304,0.9796398907624504,0.9354838709677419,0.9886363636363636,0.9613259668508287,0.026359146923449372,7651,1477,1801,0.995260663507109,0.9767351852476908,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.03364389107865896
cnn,acc_gyro,76866,0.001836892515711952,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/cnn_acc_gyro/best.pt,13,128,64,subject,0.9988895058300944,0.9940262962373295,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.016595120091086407,7651,1477,1801,0.998645903859174,0.9933132322848193,0.975,1.0,0.9873417721518988,0.02397125187082772
gru,acc,38466,0.0025002818802022375,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/gru_acc/best.pt,13,128,64,subject,0.9911160466407551,0.9555500709569938,0.8529411764705882,0.9886363636363636,0.9157894736842105,0.05454068336117292,7651,1477,1801,0.999322951929587,0.9966365236638892,0.9873417721518988,1.0,0.9936305732484076,0.017557788726015516
gru,gyro,38466,0.002500580776541028,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/gru_gyro/best.pt,13,128,64,subject,0.9883398112159911,0.9436168071736846,0.8073394495412844,1.0,0.8934010152284264,0.02495130340980861,7651,1477,1801,0.995937711577522,0.9801762705798138,0.9390243902439024,0.9871794871794872,0.9625,0.03142517350031442
gru,acc_gyro,39042,0.002468189995852299,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/gru_acc_gyro/best.pt,13,128,64,subject,0.9877845641310383,0.9400712695416484,0.8113207547169812,0.9772727272727273,0.8865979381443299,0.04602180321782058,7651,1477,1801,0.997968855788761,0.9900293651061531,0.9629629629629629,1.0,0.9811320754716981,0.014096359107529866
tcn,acc,220610,0.00576155747694429,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/tcn_acc/best.pt,13,128,64,subject,0.9900055524708495,0.9499938298266182,0.8431372549019608,0.9772727272727273,0.9052631578947369,0.04258189456719196,7651,1477,1801,0.997291807718348,0.9867841803865426,0.9512195121951219,1.0,0.975,0.027683131928324254
tcn,gyro,220610,0.005761612192145549,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/tcn_gyro/best.pt,13,128,64,subject,0.9983342587451416,0.991087467524434,0.9775280898876404,0.9886363636363636,0.9830508474576272,0.014188596375733576,7651,1477,1801,0.998645903859174,0.9933132322848193,0.975,1.0,0.9873417721518988,0.01691647334590505
tcn,acc_gyro,221378,0.005826302949571982,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/tcn_acc_gyro/best.pt,13,128,64,subject,0.9977790116601888,0.988304435352945,0.9565217391304348,1.0,0.9777777777777777,0.005025814907762078,7651,1477,1801,0.998645903859174,0.9933132322848193,0.975,1.0,0.9873417721518988,0.010837298061380798
transformer,acc,83842,0.003732805016625207,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/subject_5seed/seed13/transformer_acc/best.pt,13,128,64,subject,0.9994447529150472,0.9969969569385968,1.0,0.9886363636363636,0.9942857142857143,0.01246547503389112,7651,1477,1801,0.997968855788761,0.9900293651061531,0.9629629629629629,1.0,0.9811320754716981,0.02019767750296729
