model,task,seed,seq_len,noise_std,params,inference_ms_per_window,train_time_s,train_size,val_size,test_size,best_val_macro_f1,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss
cnn,direction,13,128,0.05,75906,0.0012376386621326674,0.9228040238376707,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.004748886756598949
cnn,direction,42,128,0.05,75906,0.0012361226708890172,0.7767878139857203,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0049237475283443926
cnn,direction,73,128,0.05,75906,0.0012372433502605418,0.7270246730186045,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.004499157369136811
tcn,direction,13,128,0.05,220610,0.003604436506066122,1.382236354984343,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0013703608559444546
tcn,direction,42,128,0.05,220610,0.0036043054478795966,1.1747365749906749,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.002246210005134344
tcn,direction,73,128,0.05,220610,0.0036044541047886014,1.182000485016033,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0017682110285386443
transformer,direction,13,128,0.05,83842,0.00271706776402425,1.4154417959507555,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.001910454010590911
transformer,direction,42,128,0.05,83842,0.002716042808970087,1.2366133050527424,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.003040306732058525
transformer,direction,73,128,0.05,83842,0.00272423671958677,1.2390546379610896,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0017892955709248781
real_ssm,direction,13,128,0.05,34050,0.02381411345595552,10.446764962980524,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0018788138711825014
real_ssm,direction,42,128,0.05,34050,0.023811900973669253,10.475315799936652,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0008911681440658867
real_ssm,direction,73,128,0.05,34050,0.023665198614253313,10.181475097080693,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0010870583420619368
complex_ssm,direction,13,128,0.05,50562,0.0749500496112887,52.38987186783925,10000,2000,2000,0.9989990991892703,1.0,1.0,1.0,1.0,1.0,0.0006766305743949488
complex_ssm,direction,42,128,0.05,50562,0.07447358848367003,64.31371116102673,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,6.921322958078235e-05
complex_ssm,direction,73,128,0.05,50562,0.07458234158548294,52.44581871898845,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0001387126741465181
mamba3,direction,13,128,0.05,239378,0.005557029089686694,27.439848358975723,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0001577061692951247
mamba3,direction,42,128,0.05,239378,0.0055344579777738545,2.16622312203981,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0001680473267333582
mamba3,direction,73,128,0.05,239378,0.005485497831614339,2.281375724123791,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0002862963476218283
cnn,phase_jump,13,128,0.05,75906,0.0012366095688776113,2.733032525051385,10000,2000,2000,0.9994998638379299,0.997,0.9969951923076923,1.0,0.9937694704049844,0.996875,0.008161879103630781
cnn,phase_jump,42,128,0.05,75906,0.0012357765626802575,2.7955204530153424,10000,2000,2000,0.9994998468280911,0.9985,0.9984990990842253,1.0,0.9969293756397134,0.9984623270117888,0.005985474832355976
cnn,phase_jump,73,128,0.05,75906,0.001235756826645229,2.7938229551073164,10000,2000,2000,0.9994999088583895,0.999,0.9989995998399359,1.0,0.9979612640163099,0.9989795918367347,0.004665065687149763
tcn,phase_jump,13,128,0.05,220610,0.00360467911377782,1.9557065039407462,10000,2000,2000,1.0,0.9995,0.9994992958848381,1.0,0.9989615784008308,0.9994805194805195,0.0030455952092306687
tcn,phase_jump,42,128,0.05,220610,0.003604051153160981,1.6916796728037298,10000,2000,2000,1.0,0.9995,0.9994997237224257,1.0,0.9989764585465711,0.9994879672299027,0.002960055012255907
tcn,phase_jump,73,128,0.05,220610,0.003604477569751907,1.962175783002749,10000,2000,2000,1.0,1.0,1.0,1.0,1.0,1.0,0.0008460410851985216
transformer,phase_jump,13,128,0.05,83842,0.0027141865302837687,5.041663522133604,10000,2000,2000,0.9949977940271659,0.993,0.9929864217124353,1.0,0.9854620976116303,0.9926778242677824,0.018894525431096553
transformer,phase_jump,42,128,0.05,83842,0.0027191450953978347,5.042448420077562,10000,2000,2000,0.9904933239367346,0.9915,0.9914915574979273,1.0,0.9825997952917093,0.9912235415591121,0.0314619981199503
transformer,phase_jump,73,128,0.05,83842,0.002714912079682108,5.010795196983963,10000,2000,2000,0.995999599959996,0.994,0.9939962476547842,1.0,0.9877675840978594,0.9938461538461538,0.02471983750909567
real_ssm,phase_jump,13,128,0.05,34050,0.023578220316267107,30.348497114842758,10000,2000,2000,0.9814838863520978,0.978,0.9779356603856846,0.9946178686759957,0.9595015576323987,0.9767441860465116,0.07102238348126412
real_ssm,phase_jump,42,128,0.05,34050,0.02365045565966284,43.172681455966085,10000,2000,2000,0.9874918665862477,0.991,0.9909939118844339,0.9938208032955715,0.9877175025588536,0.9907597535934292,0.03218681734800339
real_ssm,phase_jump,73,128,0.05,34050,0.02375403105361329,43.41024858993478,10000,2000,2000,0.99099955897839,0.992,0.9919945883417189,0.9989658738366081,0.9847094801223242,0.9917864476386037,0.031480596836656334
complex_ssm,phase_jump,13,128,0.05,50562,0.07462113594556286,36.02953080413863,10000,2000,2000,0.49841129454926625,0.506,0.4952405475107389,0.48322147651006714,0.37383177570093457,0.4215456674473068,0.693247103214264
complex_ssm,phase_jump,42,128,0.05,50562,0.07453375487784797,32.26073252107017,10000,2000,2000,0.494884199196024,0.49,0.48926249504284186,0.47729672650475186,0.4626407369498465,0.4698544698544699,0.6947017540931701
complex_ssm,phase_jump,73,128,0.05,50562,0.07480664298782358,40.46988543798216,10000,2000,2000,0.5064586749698329,0.522,0.5186032646352664,0.5146886016451234,0.44648318042813456,0.4781659388646288,0.6927535862922668
mamba3,phase_jump,13,128,0.05,239378,0.0056151769513235195,7.957114716991782,10000,2000,2000,0.9949983794749498,0.992,0.9919851805989275,0.9978969505783386,0.9854620976116303,0.9916405433646813,0.023950972113758327
mamba3,phase_jump,42,128,0.05,239378,0.005469988309414475,7.727435542969033,10000,2000,2000,0.9939973528325992,0.9965,0.9964978978631924,0.997946611909651,0.9948822927328557,0.9964120963608406,0.011380113311111927
mamba3,phase_jump,73,128,0.05,239378,0.005501232453752891,9.044778198935091,10000,2000,2000,0.9974996693312691,1.0,1.0,1.0,1.0,1.0,0.002042273793369532
cnn,speed_change,13,128,0.05,75906,0.001235600393556524,1.2087156870402396,10000,2000,2000,0.4839870996774919,0.4935,0.4934634027308473,0.47549019607843135,0.5036344755970924,0.4891578416540595,0.6940002708435059
cnn,speed_change,42,128,0.05,75906,0.001235424406331731,2.626797517063096,10000,2000,2000,0.7510651438309286,0.767,0.757088228057665,0.9127625201938611,0.5783009211873081,0.7080200501253133,0.49791137075424197
cnn,speed_change,73,128,0.05,75906,0.0012362203051452525,1.1919787498191,10000,2000,2000,0.5353505643775325,0.524,0.518169855248507,0.5181476846057572,0.42201834862385323,0.4651685393258427,0.6934321980476379
tcn,speed_change,13,128,0.05,220610,0.003604058974815416,1.7173856308218092,10000,2000,2000,0.8269362275313832,0.838,0.833743842364532,0.9456066945606695,0.7040498442367601,0.8071428571428572,0.38107489943504336
tcn,speed_change,42,128,0.05,220610,0.0036040335999132367,4.5934835080988705,10000,2000,2000,0.9294661291313955,0.937,0.9365305801709443,1.0,0.8710337768679631,0.9310722100656456,0.19889952445030212
tcn,speed_change,73,128,0.05,220610,0.0036041726616531378,4.765190151985735,10000,2000,2000,0.9277569744620905,0.93,0.9294411029766783,1.0,0.8572884811416922,0.9231613611416026,0.210178697347641
transformer,speed_change,13,128,0.05,83842,0.0027214221063331934,4.902823851909488,10000,2000,2000,0.9089772685898758,0.9195,0.9184494453675867,0.9950617283950617,0.8369678089304258,0.9091934574168077,0.21491800963878632
transformer,speed_change,42,128,0.05,83842,0.002715199798331014,2.093467375030741,10000,2000,2000,0.8495700466332856,0.851,0.8476632150627341,0.9669876203576341,0.7195496417604913,0.8251173708920188,0.3430430154800415
transformer,speed_change,73,128,0.05,83842,0.002725940430536866,4.067599039990455,10000,2000,2000,0.8664999939318179,0.8765,0.8743935484051413,0.9828947368421053,0.7614678899082569,0.8581275129236071,0.31163463735580443
real_ssm,speed_change,13,128,0.05,34050,0.023971922428245307,30.123834459111094,10000,2000,2000,0.8379547011597521,0.86,0.8565991043589776,0.9684499314128944,0.7331256490134995,0.83451536643026,0.34959965229034423
real_ssm,speed_change,42,128,0.05,34050,0.023875751003288315,43.783834187779576,10000,2000,2000,0.8768543094885282,0.8905,0.8886615517071769,0.9947780678851175,0.7799385875127943,0.8743545611015491,0.2783713834285736
real_ssm,speed_change,73,128,0.05,34050,0.023694623450865038,43.66310512716882,10000,2000,2000,0.8817526471682653,0.894,0.892749024623205,0.9788293897882939,0.8012232415902141,0.8811659192825112,0.28591529083251954
complex_ssm,speed_change,13,128,0.05,50562,0.0752815431496856,120.15711521613412,10000,2000,2000,0.6761133603238867,0.7155,0.6992421589550118,0.8444055944055944,0.5015576323987538,0.6293159609120521,0.5416428995132446
complex_ssm,speed_change,42,128,0.05,50562,0.07468801559298299,28.378268257016316,10000,2000,2000,0.5002003205128205,0.483,0.4804542257059592,0.4754944110060189,0.5660184237461617,0.516822429906542,0.6995299863815307
complex_ssm,speed_change,73,128,0.05,50562,0.07475353204426938,56.19651743979193,10000,2000,2000,0.5248903675687439,0.5305,0.5254161390353818,0.5171288743882545,0.6462793068297655,0.5745355686452197,0.6907423696517945
mamba3,speed_change,13,128,0.05,239378,0.005452904133562697,9.07058111182414,10000,2000,2000,0.9117448670184265,0.926,0.9252065159274746,0.9903730445246691,0.8546209761163032,0.9175027870680045,0.2153382658958435
mamba3,speed_change,42,128,0.05,239378,0.005536071876122151,6.0484323729760945,10000,2000,2000,0.8739015964668041,0.8915,0.889981050883764,0.9822335025380711,0.7922210849539406,0.8770538243626063,0.28486711072921755
mamba3,speed_change,73,128,0.05,239378,0.005745830048908829,8.554620777955279,10000,2000,2000,0.9308661568797192,0.931,0.9306504087103087,0.9806157354618016,0.8766564729867482,0.9257265877287406,0.20680613040924073
