backbone,task,n_seeds,macro_f1,macro_f1_mean,macro_f1_std,accuracy,accuracy_mean,accuracy_std,worst_class_f1,worst_class_f1_mean,worst_class_f1_std,inference_ms_per_window,inference_ms_per_window_mean,inference_ms_per_window_std,params,params_mean,params_std
cnn,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0013 ± 0.0000,0.0012516582652703316,1.222913990511936e-07,75586.0000 ± 0.0000,75586.0,0.0
complex_selective,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0753 ± 0.0001,0.07527728554729644,0.00013173268589057954,50498.0000 ± 0.0000,50498.0,0.0
complex_static,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0761 ± 0.0004,0.07607129089895655,0.0003849668177637431,34114.0000 ± 0.0000,34114.0,0.0
mamba3,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0058 ± 0.0001,0.005756568680226337,5.074366993398391e-05,239250.0000 ± 0.0000,239250.0,0.0
real_selective,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0241 ± 0.0002,0.024090534119144042,0.00015691542843739674,33986.0000 ± 0.0000,33986.0,0.0
real_static,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0241 ± 0.0000,0.024102717664694257,4.725882846328527e-05,25794.0000 ± 0.0000,25794.0,0.0
transformer,direction_hard,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0028 ± 0.0000,0.002823990689648781,1.3589946226593307e-06,83778.0000 ± 0.0000,83778.0,0.0
tcn,direction_hard,3,0.9997 ± 0.0006,0.9996664051282872,0.0005778032669509369,0.9997 ± 0.0006,0.9996666666666667,0.0005773502691896262,0.9997 ± 0.0006,0.9996570644718793,0.0005939817584255222,0.0036 ± 0.0000,0.0036367442135087913,1.4766618261939985e-06,220354.0000 ± 0.0000,220354.0,0.0
mamba3,mid_switch,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0058 ± 0.0000,0.005811441390809098,4.789906982588464e-05,239250.0000 ± 0.0000,239250.0,0.0
transformer,mid_switch,3,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.0028 ± 0.0000,0.002819680200142708,7.178886152363891e-07,83778.0000 ± 0.0000,83778.0,0.0
tcn,mid_switch,3,0.9998 ± 0.0003,0.9998330859249456,0.0002891036584926292,0.9998 ± 0.0003,0.9998333333333334,0.0002886751345947811,0.9998 ± 0.0003,0.999826659733056,0.0003002341493445725,0.0036 ± 0.0000,0.00363894153755003,5.113129245580861e-06,220354.0000 ± 0.0000,220354.0,0.0
real_static,mid_switch,3,0.9997 ± 0.0003,0.9996664172165872,0.00028889139915009107,0.9997 ± 0.0003,0.9996666666666667,0.0002886751345947811,0.9997 ± 0.0003,0.9996594076842183,0.00029510293725488774,0.0241 ± 0.0002,0.024117292362764903,0.00016888728861304692,25794.0000 ± 0.0000,25794.0,0.0
cnn,mid_switch,3,0.9995 ± 0.0005,0.9994997534476554,0.0005003648078070877,0.9995 ± 0.0005,0.9995,0.0005000000000000004,0.9995 ± 0.0005,0.9994899968666812,0.0005139183637757426,0.0013 ± 0.0000,0.0012516817605501274,4.968480965417064e-07,75586.0000 ± 0.0000,75586.0,0.0
complex_static,mid_switch,3,0.9995 ± 0.0005,0.9994997442580705,0.0005000126778074914,0.9995 ± 0.0005,0.9995,0.0005000000000000004,0.9995 ± 0.0005,0.9994916513578466,0.000502614221100182,0.0761 ± 0.0004,0.07606377954895531,0.00039564790111931654,34114.0000 ± 0.0000,34114.0,0.0
real_selective,mid_switch,3,0.9993 ± 0.0008,0.9993324165041935,0.0007649970719047081,0.9993 ± 0.0008,0.9993333333333334,0.0007637626158259498,0.9993 ± 0.0008,0.9993078817797779,0.000795822028511609,0.0240 ± 0.0000,0.023992759618825705,1.4322354581421773e-05,33986.0000 ± 0.0000,33986.0,0.0
complex_selective,mid_switch,3,0.9982 ± 0.0015,0.998164812733485,0.0015298063269208139,0.9982 ± 0.0015,0.9981666666666668,0.0015275252316519481,0.9981 ± 0.0016,0.9981088333841069,0.0015921900450546278,0.0754 ± 0.0002,0.0754439920153042,0.00022467893894329577,50498.0000 ± 0.0000,50498.0,0.0
transformer,speed_direction6,3,0.9881 ± 0.0065,0.9881465828048985,0.0064548713000442655,0.9882 ± 0.0065,0.9881666666666667,0.006506407098647717,0.9821 ± 0.0067,0.9820828019352107,0.006650558429396088,0.0028 ± 0.0000,0.0028311883549273866,4.438228720834185e-06,84038.0000 ± 0.0000,84038.0,0.0
mamba3,speed_direction6,3,0.9881 ± 0.0038,0.9881196146890807,0.003803923375843239,0.9882 ± 0.0038,0.9881666666666666,0.0037527767497325436,0.9791 ± 0.0089,0.9791243564646768,0.008930903507589951,0.0058 ± 0.0000,0.005797351953636583,4.886871846763817e-05,239766.0000 ± 0.0000,239766.0,0.0
tcn,speed_direction6,3,0.9835 ± 0.0031,0.983457069721304,0.0031056667526616934,0.9835 ± 0.0030,0.9835,0.003041381265149094,0.9696 ± 0.0065,0.9696107082548456,0.006545632821339965,0.0036 ± 0.0000,0.0036356018275303845,8.813215231699984e-08,220870.0000 ± 0.0000,220870.0,0.0
cnn,speed_direction6,3,0.9816 ± 0.0024,0.9816388262115461,0.0024357957606406322,0.9817 ± 0.0024,0.9816666666666667,0.0023629078131263376,0.9627 ± 0.0077,0.9627457767268188,0.007688768910923474,0.0013 ± 0.0000,0.0012534990219137399,1.3732266241445598e-06,76102.0000 ± 0.0000,76102.0,0.0
complex_selective,speed_direction6,3,0.9806 ± 0.0016,0.980585197297745,0.0016061068297751704,0.9807 ± 0.0015,0.9806666666666667,0.0015275252316519481,0.9699 ± 0.0011,0.9699159929227681,0.0011427860879747382,0.0753 ± 0.0005,0.07529109134338796,0.0004958020568484265,50758.0000 ± 0.0000,50758.0,0.0
real_selective,speed_direction6,3,0.9758 ± 0.0101,0.9758304714436516,0.01009276853758816,0.9762 ± 0.0098,0.9761666666666666,0.009776672917375011,0.9518 ± 0.0237,0.9518279541397717,0.023725831613298644,0.0240 ± 0.0001,0.024021795525186462,0.00010734296468439749,34246.0000 ± 0.0000,34246.0,0.0
real_static,speed_direction6,3,0.9703 ± 0.0127,0.9702896612989291,0.012708272337234284,0.9703 ± 0.0129,0.9703333333333334,0.012906716597699553,0.9495 ± 0.0288,0.9494769493272905,0.02883121450311236,0.0241 ± 0.0002,0.024094039963529212,0.00015180918592392527,26054.0000 ± 0.0000,26054.0,0.0
complex_static,speed_direction6,3,0.9563 ± 0.0048,0.9562779068332481,0.004805022647764247,0.9567 ± 0.0049,0.9566666666666667,0.004856267428111129,0.9181 ± 0.0072,0.9180681732901487,0.007240852468701843,0.0755 ± 0.0003,0.07553562048390934,0.00031879718458365967,34374.0000 ± 0.0000,34374.0,0.0
