backbone,task,seed,params,inference_ms_per_window,train_time_s,best_val_macro_f1,loss,accuracy,macro_f1,worst_class_f1,per_class_f1,confusion_matrix
cnn,direction_hard,13,75586,0.001251661524293013,2.411724711069837,1.0,0.002536306359805167,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
cnn,direction_hard,42,75586,0.0012517788945842767,2.1977702849544585,1.0,0.005012557692825794,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
cnn,direction_hard,73,75586,0.001251534376933705,2.113337184069678,1.0,0.005317317755892873,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
tcn,direction_hard,13,220354,0.003636928704509046,2.69318843097426,1.0,0.006134320646524429,0.999,0.9989992153848617,0.9989711934156379,"[0.9990272373540856, 0.9989711934156379]","[[1027, 1], [1, 971]]"
tcn,direction_hard,42,220354,0.003638119960669428,2.9552188660018146,1.0,0.0012429766478016973,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
tcn,direction_hard,73,220354,0.0036351839753479,2.9552000069525093,1.0,0.0006572386547923088,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
transformer,direction_hard,13,83778,0.0028251031380932545,3.065587318968028,1.0,0.001174781926907599,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
transformer,direction_hard,42,83778,0.002824392959155375,3.0624032099731266,1.0,0.0012087895683944225,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
transformer,direction_hard,73,83778,0.0028224759716977132,3.10418117698282,1.0,0.002499470327049494,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
mamba3,direction_hard,13,239250,0.0057268677664978895,25.021495670080185,1.0,0.00019578043988440185,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
mamba3,direction_hard,42,239250,0.0058151605571765685,3.822786885080859,1.0,0.000286595854209736,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
mamba3,direction_hard,73,239250,0.005727677717004553,3.811060336884111,1.0,0.00018067917390726508,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
real_static,direction_hard,13,25794,0.02414906721242005,13.426764979027212,1.0,0.0021389708174392582,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
real_static,direction_hard,42,25794,0.024054599225564743,15.25315513391979,1.0,0.0003992538205347955,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
real_static,direction_hard,73,25794,0.02410448655609798,11.984317963942885,1.0,0.004821460166946054,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
real_selective,direction_hard,13,33986,0.02395862520643277,11.806282952893525,1.0,0.003883826463483274,1.0,1.0,1.0,"[1.0, 1.0]","[[1028, 0], [0, 972]]"
real_selective,direction_hard,42,33986,0.024048913110163994,11.720793758053333,1.0,0.0038016874566674233,1.0,1.0,1.0,"[1.0, 1.0]","[[1012, 0], [0, 988]]"
real_selective,direction_hard,73,33986,0.024264064040835365,11.878470306983218,1.0,0.0013186764204874634,1.0,1.0,1.0,"[1.0, 1.0]","[[1045, 0], [0, 955]]"
