model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
cnn,acc_gyro,76866,0.0015130739120650105,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed13/cnn_acc_gyro/best.pt,13,64,32,random,0.9926842993809791,0.9715050480754406,0.9169960474308301,0.9789029535864979,0.9469387755102041,0.04977521616242277,16585,3554,3554,0.9912774338773214,0.9659609150209272,0.9051383399209486,0.9703389830508474,0.9366053169734151,0.05809132561095994
gru,acc_gyro,39042,0.001637396271689795,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed13/gru_acc_gyro/best.pt,13,64,32,random,0.9924029262802476,0.9700119535919371,0.926829268292683,0.9620253164556962,0.9440993788819876,0.07364567208403096,16585,3554,3554,0.9918401800787845,0.9677906168209696,0.9190283400809717,0.961864406779661,0.9399585921325052,0.09214680412353378
tcn,acc_gyro,221378,0.0048974246965372,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed13/tcn_acc_gyro/best.pt,13,64,32,random,0.9926842993809791,0.9713969095141399,0.9203187250996016,0.9746835443037974,0.9467213114754098,0.046033038640867545,16585,3554,3554,0.9918401800787845,0.968396247387844,0.9027237354085603,0.9830508474576272,0.9411764705882353,0.04072230780481077
transformer,acc_gyro,84034,0.0026089966922882013,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed13/transformer_acc_gyro/best.pt,13,64,32,random,0.9876195835678109,0.9519592807778138,0.8784313725490196,0.9451476793248945,0.9105691056910569,0.10304969914776908,16585,3554,3554,0.9909960607765897,0.9643902494010143,0.9146341463414634,0.9533898305084746,0.9336099585062241,0.0760026889202708
mamba3,acc_gyro,239762,0.011129079866805114,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed13/mamba3_acc_gyro/best.pt,13,64,32,random,0.9873382104670794,0.9516843413218968,0.8636363636363636,0.9620253164556962,0.9101796407185628,0.07845402355308471,16585,3554,3554,0.9895891952729319,0.9601266385092776,0.8783269961977186,0.9788135593220338,0.9258517034068137,0.07685017055196643
cnn,acc_gyro,76866,0.0016604684060439467,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed42/cnn_acc_gyro/best.pt,42,64,32,random,0.9898705683736635,0.9612760290556901,0.8821292775665399,0.9789029535864979,0.928,0.04691462225260262,16585,3554,3554,0.990151941474395,0.9618575399508462,0.8910505836575876,0.9703389830508474,0.9290060851926978,0.05228562497826829
gru,acc_gyro,39042,0.0016382710964535363,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed42/gru_acc_gyro/best.pt,42,64,32,random,0.9907146876758582,0.9630641727010217,0.9214876033057852,0.9409282700421941,0.9311064718162839,0.11744194583874039,16585,3554,3554,0.9918401800787845,0.9675412426766554,0.9259259259259259,0.9533898305084746,0.9394572025052192,0.09761903516855981
tcn,acc_gyro,221378,0.004906641734123696,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed42/tcn_acc_gyro/best.pt,42,64,32,random,0.9926842993809791,0.9706142376124021,0.9451476793248945,0.9451476793248945,0.9451476793248945,0.0845630398370246,16585,3554,3554,0.994091164884637,0.976124966291078,0.9574468085106383,0.9533898305084746,0.9554140127388535,0.07612382809955943
transformer,acc_gyro,84034,0.0026335726579418406,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed42/transformer_acc_gyro/best.pt,42,64,32,random,0.9887450759707372,0.9559952454063692,0.8924302788844621,0.9451476793248945,0.9180327868852459,0.07688410665481428,16585,3554,3554,0.9907146876758582,0.9634880633095227,0.9076305220883534,0.9576271186440678,0.931958762886598,0.08845845378671191
mamba3,acc_gyro,239762,0.011084484867751598,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/window_64_3seed/seed42/mamba3_acc_gyro/best.pt,42,64,32,random,0.988182329769274,0.9548220338983051,0.870722433460076,0.9662447257383966,0.916,0.08251213664728803,16585,3554,3554,0.9904333145751266,0.9625959585954138,0.9007936507936508,0.961864406779661,0.930327868852459,0.09776099637511344
